mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
12.455015977223715,0.03050630303140181,0.1985464096069336,0.00347388346820419,,1,2,50,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.8231857717772296,0.8170605037652557,0.8210854323552325,0.8204439026325726,0.002541442811136965,41
25.300852060317993,0.1350865856937803,0.36464810371398926,0.013187522605672325,,1,2,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8338309749448267,0.8219942871981304,0.8331602181251623,0.8296618267560398,0.005428680062523532,19
50.44839644432068,0.11660606387679036,0.7306638558705648,0.04378514712754937,,1,2,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.841620147994288,0.8290054531290574,0.8357569462477279,0.8354608491236911,0.005154181911539788,3
12.36058266957601,0.05992288571541652,0.17206613222757974,0.005400527974989229,,1,5,50,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.8238348695313514,0.8223837964165152,0.8238119968839263,0.8233435542772644,0.0006787155285058007,36
24.699175039927166,0.25613072980800955,0.34228086471557617,0.015744766630712108,,1,5,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8331818771907049,0.8278369254739029,0.831602181251623,0.8308736613054103,0.0022420501329153564,14
49.82364463806152,0.43697362801058903,0.6703254381815592,0.0537361553094132,,1,5,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8391535765286252,0.8303038171903402,0.8367956374967541,0.8354176770719065,0.003741981764228273,5
12.104111512502035,0.08793390761882479,0.14644924799601236,0.0032004411851907426,,1,10,50,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.8244839672854732,0.8205660867307193,0.8156323032978448,0.8202274524380124,0.0036216012780368825,42
24.047515630722046,0.21255059401070378,0.32092920939127606,0.014742820258215283,,1,10,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.8303258470725692,0.8277070890677746,0.8322513632822643,0.8300947664742028,0.0018623740613036936,16
49.18128720919291,0.3715695512011658,0.577264149983724,0.006517152972977349,,1,10,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.8355186291055433,0.8299143079719553,0.8323811996883926,0.8326047122552972,0.0022934068170545503,9
12.607085625330607,0.09146589521531315,0.17426673571268717,0.01784821320082749,,2,2,50,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.8259119823445411,0.8179693586081537,0.8168008309529993,0.8202273906352314,0.004047822574865001,43
24.583573818206787,0.07452495260193565,0.3137814998626709,0.0035919871095655004,,2,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8373361028170843,0.8284861075045443,0.8317320176577513,0.8325180759931267,0.003655499969265901,11
48.62467288970947,0.3684716223389985,0.6495708624521891,0.0015623344497739768,,2,2,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.8403219524860444,0.8291352895351857,0.8344585821864451,0.8346386080692251,0.004568709809335789,7
12.167529344558716,0.10846740108136296,0.16057062149047852,0.000890113150624944,,2,5,50,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.8292872906659743,0.8169306673591274,0.8219942871981304,0.8227374150744108,0.005071864493931614,37
24.177725950876873,0.11970552436055494,0.32735109329223633,0.01030628498450808,,2,5,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8316240425808127,0.8258893793819787,0.8323811996883926,0.829964873883728,0.002898340133792824,17
48.719196240107216,0.49243547620976846,0.61197296778361,0.01655530514144441,,2,5,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8387641178761521,0.8305634900025968,0.8369254739028824,0.8354176939272104,0.0035135570505696254,4
11.811269680658976,0.028305165311667824,0.14728291829427084,0.0033772811013074214,,2,10,50,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.8151369596261197,0.8147234484549468,0.8222539600103869,0.8173714560304844,0.003456576505493396,48
23.629735708236694,0.19382609365941691,0.28975264231363934,0.0018060924217145515,,2,10,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.8321433207841101,0.8264087250064919,0.8282264346922877,0.8289261601609632,0.0023928517131662735,22
47.90973711013794,0.3994701032040737,0.5792823632558187,0.0072822823663012985,,2,10,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.8342204335972998,0.8296546351596987,0.8293949623474423,0.8310900103681469,0.002216080577291243,13
11.531482776006063,0.09859309901160708,0.15879027048746744,0.008043984571086687,,4,2,50,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.8091652602881994,0.8131654115814074,0.8199169047000779,0.8140825255232284,0.004436987557384824,52
