mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4.571385542551677,0.02927622538745485,0.05943902333577474,0.000770549626721809,0.5,0.01,3,50,0.5,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.5}",0.4812410749058808,0.4693586081537263,0.485068813295248,0.4785561654516184,0.00668875626108792,237
4.581729173660278,0.06024777316287422,0.05642962455749512,0.003966874297543643,0.5,0.01,3,50,0.7,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.7}",0.45787355575749705,0.45183069332640874,0.4729940275253181,0.460899425536408,0.008900883646877482,240
3.7456648349761963,0.7063335904027482,0.061621904373168945,0.004545297246190505,0.5,0.01,3,50,1.0,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",0.43891990133714137,0.41638535445338876,0.4363801609971436,0.43056180559589124,0.010077744307647192,241
6.439517895380656,0.06902786710264998,0.10547240575154622,0.005137040487494689,0.5,0.01,3,100,0.5,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.5}",0.5270673763468778,0.5264866268501688,0.538691249026227,0.5307484174077579,0.005621432088237342,228
6.523289124170939,0.05927414715944861,0.09872714678446452,0.0057477718226072345,0.5,0.01,3,100,0.7,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",0.5056471504608594,0.5020773824980524,0.5209036613866528,0.5095427314485215,0.00816451091090441,231
5.598970810572307,0.0664311943164425,0.10515642166137695,0.003095148432843924,0.5,0.01,3,100,1.0,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.48292872906659745,0.47104648143339395,0.4861075045442742,0.4800275716814219,0.006481827927202141,236
12.651264905929565,0.14436788007582657,0.2046358585357666,0.012952398325596597,0.5,0.01,3,200,0.5,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.5}",0.5958717382837856,0.6084133991171125,0.6184108023889898,0.607565313263296,0.009221055250393316,219
12.601058959960938,0.007979615102660053,0.20318063100179037,0.007269872972100898,0.5,0.01,3,200,0.7,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",0.5853563546670129,0.5928330303817191,0.5962087769410542,0.5914660539965954,0.004534698492854236,222
11.53706431388855,0.3956869221113422,0.20871337254842123,0.019867698018979325,0.5,0.01,3,200,1.0,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.5667921588991303,0.5608932744741626,0.5753051155544014,0.5676635163092314,0.005915783331203552,225
5.733029206593831,0.04144082107831056,0.10449020067850749,0.0039028185400992333,0.5,0.01,5,50,0.5,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.5}",0.6720758146176814,0.6680083095299922,0.6831991690470007,0.6744277643982247,0.006420763404456952,207
5.8093345165252686,0.0038876330024885113,0.11669254302978516,0.0005996557628563244,0.5,0.01,5,50,0.7,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.7}",0.6581851226794755,0.6574915606336017,0.67346143858738,0.6630460406334856,0.007370239389208346,212
5.741339604059855,0.05602559119662253,0.11578106880187988,0.007107336960861588,0.5,0.01,5,50,1.0,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1.0}",0.6336492275736726,0.6247727862892755,0.62217605816671,0.626866024009886,0.0049122050158393535,215
11.730240980784098,0.060973548592853644,0.2287747065226237,0.018233372649185932,0.5,0.01,5,100,0.5,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.5}",0.7047903414254186,0.7043625032459101,0.7216307452609712,0.7102611966440998,0.008041382061582428,195
11.798845052719116,0.047466344808609603,0.21897101402282715,0.009098587482357545,0.5,0.01,5,100,0.7,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.7}",0.699078281189147,0.700077901843677,0.7125421968319917,0.7038994599549385,0.006124948212446161,200
11.147314866383871,0.09671066059877356,0.24528352419535318,0.0045504214836179,0.5,0.01,5,100,1.0,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.6724652732701545,0.6708647104648143,0.6783952220202545,0.6739084019184078,0.0032392505607739407,208
23.327480634053547,0.022127663453660427,0.4762893517812093,0.02968521461320405,0.5,0.01,5,200,0.5,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.5}",0.7571076204076334,0.7569462477278629,0.7614905219423527,0.7585147966926163,0.002105186588228066,180
