mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
35.20527362823486,0.25940962607436124,30.043816725413006,0.009325990076325502,0.01,,2,scale,linear,"{'C': 0.01, 'class_weight': None, 'degree': 2, 'gamma': 'scale', 'kernel': 'linear'}",0.10073997143969882,0.09984419631264607,0.1032199428719813,0.10126803687477541,0.0014278319312878702,74
47.77704612414042,0.5350895100399972,38.139365355173744,0.3869521546204386,0.01,,2,scale,rbf,"{'C': 0.01, 'class_weight': None, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf'}",0.13669998701804492,0.12100753051155544,0.12152687613606855,0.12641146455522298,0.00727817288520588,70
31.49316104253133,2.0695019928285223,21.433780193328857,11.788408120689002,0.01,,2,scale,poly,"{'C': 0.01, 'class_weight': None, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",0.3572634038686226,0.3750973773045962,0.3588678265385614,0.36374286923726,0.008055523285893318,52
49.96808377901713,0.1442175730524586,29.924966255823772,0.2031727610084731,0.01,,2,scale,sigmoid,"{'C': 0.01, 'class_weight': None, 'degree': 2, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.06439049720887965,0.06439885743962608,0.06439885743962608,0.06439607069604393,3.94105056871899e-06,97
23.66657034556071,2.6847028959753154,21.791338443756104,8.042943157907015,0.01,,2,auto,linear,"{'C': 0.01, 'class_weight': None, 'degree': 2, 'gamma': 'auto', 'kernel': 'linear'}",0.10073997143969882,0.09984419631264607,0.1032199428719813,0.10126803687477541,0.0014278319312878702,74
47.51803636550903,6.0773815071002035,35.52536670366923,0.2964577513840961,0.01,,2,auto,rbf,"{'C': 0.01, 'class_weight': None, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}",0.06439049720887965,0.06439885743962608,0.06439885743962608,0.06439607069604393,3.94105056871899e-06,97
40.39583659172058,0.3172415991148098,25.514923969904583,0.9768369950353679,0.01,,2,auto,poly,"{'C': 0.01, 'class_weight': None, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",0.06439049720887965,0.06439885743962608,0.06439885743962608,0.06439607069604393,3.94105056871899e-06,97
49.09512583414713,1.1374257057613502,28.371943712234497,0.999285227853264,0.01,,2,auto,sigmoid,"{'C': 0.01, 'class_weight': None, 'degree': 2, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.06439049720887965,0.06439885743962608,0.06439885743962608,0.06439607069604393,3.94105056871899e-06,97
42.75926915804545,0.8459289287396037,26.877681891123455,0.9505497756806143,0.01,,3,scale,linear,"{'C': 0.01, 'class_weight': None, 'degree': 3, 'gamma': 'scale', 'kernel': 'linear'}",0.10073997143969882,0.09984419631264607,0.1032199428719813,0.10126803687477541,0.0014278319312878702,74
52.1284077167511,0.2846060951233802,37.24011651674906,0.46854492997368846,0.01,,3,scale,rbf,"{'C': 0.01, 'class_weight': None, 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf'}",0.13669998701804492,0.12100753051155544,0.12152687613606855,0.12641146455522298,0.00727817288520588,70
24.737937847773235,0.31252196780331737,23.319162527720135,0.5991523923755742,0.01,,3,scale,poly,"{'C': 0.01, 'class_weight': None, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.6288459041931715,0.6407426642430537,0.6276291872240977,0.6324059185534411,0.005915859845402327,31
59.772854804992676,0.4243691085591944,33.13580195109049,0.19878543101596677,0.01,,3,scale,sigmoid,"{'C': 0.01, 'class_weight': None, 'degree': 3, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.06439049720887965,0.06439885743962608,0.06439885743962608,0.06439607069604393,3.94105056871899e-06,97
39.69388230641683,0.2545421243851933,28.95605007807414,0.21546760621488156,0.01,,3,auto,linear,"{'C': 0.01, 'class_weight': None, 'degree': 3, 'gamma': 'auto', 'kernel': 'linear'}",0.10073997143969882,0.09984419631264607,0.1032199428719813,0.10126803687477541,0.0014278319312878702,74
51.88173317909241,0.12736328689891402,39.0419987042745,0.3066087465979286,0.01,,3,auto,rbf,"{'C': 0.01, 'class_weight': None, 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf'}",0.06439049720887965,0.06439885743962608,0.06439885743962608,0.06439607069604393,3.94105056871899e-06,97
44.54381799697876,0.3139237211971145,28.708197275797527,0.30943469525049555,0.01,,3,auto,poly,"{'C': 0.01, 'class_weight': None, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.06439049720887965,0.06439885743962608,0.06439885743962608,0.06439607069604393,3.94105056871899e-06,97
51.2903892993927,0.4357183125709024,29.81856354077657,0.5224294293399121,0.01,,3,auto,sigmoid,"{'C': 0.01, 'class_weight': None, 'degree': 3, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.06439049720887965,0.06439885743962608,0.06439885743962608,0.06439607069604393,3.94105056871899e-06,97
39.22685694694519,0.3081158609982523,27.05351225535075,0.1876026149060567,0.01,,4,scale,linear,"{'C': 0.01, 'class_weight': None, 'degree': 4, 'gamma': 'scale', 'kernel': 'linear'}",0.10073997143969882,0.09984419631264607,0.1032199428719813,0.10126803687477541,0.0014278319312878702,74
51.31088328361511,0.14341215730752954,36.96384151776632,0.1416866235433775,0.01,,4,scale,rbf,"{'C': 0.01, 'class_weight': None, 'degree': 4, 'gamma': 'scale', 'kernel': 'rbf'}",0.13669998701804492,0.12100753051155544,0.12152687613606855,0.12641146455522298,0.00727817288520588,70
